iter	Passed	Remaining
859	14964	2436
860	14977	2417
861	14993	2400
862	15008	2382
863	15024	2364
864	15038	2347
865	15054	2329
866	15068	2311
867	15083	2293
868	15098	2276
869	15112	2258
870	15124	2240
871	15153	2224
872	15167	2206
873	15181	2188
874	15195	2170
875	15211	2153
876	15228	2135
877	15242	2118
878	15256	2100
879	15270	2082
880	15284	2064
881	15298	2046
882	15316	2029
883	15330	2011
884	15346	1994
885	15362	1976
886	15378	1959
887	15392	1941
888	15407	1923
889	15421	1906
890	15435	1888
891	15447	1870
892	15462	1852
893	15484	1835
894	15497	1818
895	15511	1800
896	15525	1782
897	15540	1765
898	15555	1747
899	15569	1729
900	15583	1712
901	15599	1694
902	15611	1676
903	15626	1659
904	15647	1642
905	15664	1625
906	15687	1608
907	15701	1590
908	15715	1573
909	15730	1555
910	15744	1538
911	15757	1520
912	15771	1502
913	15789	1485
914	15805	1468
915	15816	1450
916	15831	1432
917	15844	1415
918	15861	1397
919	15876	1380
920	15891	1363
921	15903	1345
922	15919	1328
923	15933	1310
924	15947	1293
925	15966	1275
926	15981	1258
927	15994	1240
928	16009	1223
929	16027	1206
930	16043	1189
931	16057	1171
932	16071	1154
933	16083	1136
934	16097	1119
935	16111	1101
936	16130	1084
937	16154	1067
938	16169	1050
939	16183	1032
940	16198	1015
941	16211	998
942	16225	980
943	16239	963
944	16256	946
945	16270	928
946	16287	911
947	16303	894
948	16318	876
949	16333	859
950	16350	842
951	16366	825
952	16381	807
953	16395	790
954	16407	773
955	16421	755
956	16435	738
957	16454	721
958	16477	704
959	16492	687
960	16504	669
961	16520	652
962	16535	635
963	16550	618
964	16565	600
965	16581	583
966	16595	566
967	16609	549
968	16623	531
969	16641	514
970	16656	497
971	16670	480
972	16682	462
973	16700	445
974	16716	428
975	16728	411
976	16742	394
977	16756	376
978	16770	359
979	16785	342
980	16798	325
981	16818	308
982	16832	291
983	16841	273
984	16855	256
985	16871	239
986	16886	222
987	16900	205
988	16917	188
989	16932	171
990	16945	153
991	16961	136
992	16975	119
993	16984	102
994	16997	85
995	17012	68
996	17029	51
997	17044	34
998	17058	17
999	17073	0
